"id_amending","amend_weight","name"
"C1933A00040",0.5,"Income Tax Assessment Act 1933"
"C1933A00047",0.5,"Sales Tax Assessment Act (No. 1) 1933"
"C1933A00048",0.5,"Sales Tax Assessment Act (No. 2) 1933"
"C1933A00049",0.5,"Sales Tax Assessment Act (No. 3) 1933"
"C1933A00050",0.5,"Sales Tax Assessment Act (No. 4) 1933"
"C1933A00051",0.5,"Sales Tax Assessment Act (No. 5) 1933"
"C1933A00052",0.5,"Sales Tax Assessment Act (No. 6) 1933"
"C1933A00053",0.5,"Sales Tax Assessment Act (No. 7) 1933"
"C1933A00054",0.5,"Sales Tax Assessment Act (No. 8) 1933"
"C1933A00055",1,"Sales Tax Assessment Act (No. 9) 1933"
"C1933A00056",0.5,"Invalid and Old-age Pensions Act 1933"
"C1933A00057",1,"Patents Act 1933"
"C1933A00059",1,"Dried Fruits Act 1933"
"C1933A00063",1,"High Court Procedure Act 1933"
"C1933A00065",1,"Judiciary Act 1933"
"C1933A00066",1,"Bankruptcy Act 1933"
"C1933A00068",1,"Copyright Act 1933"
"C1933A00069",1,"Tariff Board Act 1933"
"C1934A00002",1,"Customs Tariff (New Zealand Preference) 1934"
